"","Strm","Reach","Band","Date","HabitatType","rockCount","othCovCount","totCovCount","per_sand","per_siltClay","per_gravel","per_rock","per_wood","per_litter","per_veg","per_full","Notes","StrmID","SubplotCode"
"1","FOAM","1","1",2023-10-09,"MARGIN",17,2,19,5,15,35,20,0,25,0,100,NA,"STRM04","STRM04-1"
"2","FOAM","1","1",2023-10-09,"TERRESTRIAL",4,0,4,NA,NA,NA,NA,NA,NA,NA,0,NA,"STRM04","STRM04-1"
"3","FOAM","1","2",2023-10-09,"MARGIN",10,0,10,0,15,5,15,0,55,10,100,NA,"STRM04","STRM04-2"
"4","FOAM","1","2",2023-10-09,"TERRESTRIAL",2,0,2,NA,NA,NA,NA,NA,NA,NA,0,NA,"STRM04","STRM04-2"
"5","FOAM","1","3",2023-10-09,"MARGIN",12,1,13,0,15,10,20,0,50,5,100,NA,"STRM04","STRM04-3"
"6","FOAM","1","3",2023-10-09,"TERRESTRIAL",7,2,9,NA,NA,NA,NA,NA,NA,NA,0,NA,"STRM04","STRM04-3"
"7","FOAM","1","4",2023-10-09,"MARGIN",22,1,23,0,5,15,45,5,25,5,100,NA,"STRM04","STRM04-4"
"8","FOAM","1","4",2023-10-09,"MARGIN",17,0,17,0,10,15,30,5,35,5,100,NA,"STRM04","STRM04-4"
"9","FOAM","1","5",2023-10-09,"STREAM",9,1,10,0,10,5,5,0,80,0,100,NA,"STRM04","STRM04-5"
"10","FOAM","1","5",2023-10-09,"MARGIN",13,1,14,2.5,2.5,35,15,0,30,15,100,NA,"STRM04","STRM04-5"
"11","CCC","1","1",2023-10-09,"STREAM",22,2,24,10,0,25,45,10,10,0,100,NA,"STRM07","STRM07-1"
"12","CCC","1","1",2023-10-09,"MARGIN",18,2,20,10,20,5,45,15,5,0,100,NA,"STRM07","STRM07-1"
"13","CCC","1","2",2023-10-09,"STREAM",35,0,35,15,5,15,60,0,5,0,100,NA,"STRM07","STRM07-2"
"14","CCC","1","2",2023-10-09,"MARGIN",16,0,16,0,5,10,70,0,15,0,100,NA,"STRM07","STRM07-2"
"15","CCC","1","3",2023-10-09,"STREAM",15,0,15,25,10,5,50,0,10,0,100,NA,"STRM07","STRM07-3"
"16","CCC","1","3",2023-10-09,"MARGIN",15,0,15,0,35,5,50,0,10,0,100,NA,"STRM07","STRM07-3"
"17","CCC","1","4",2023-10-09,"STREAM",30,0,30,40,10,5,40,0,5,0,100,NA,"STRM07","STRM07-4"
"18","CCC","1","4",2023-10-09,"MARGIN",12,0,12,50,5,25,15,0,5,0,100,NA,"STRM07","STRM07-4"
"19","CCC","1","5",2023-10-09,"STREAM",22,0,22,5,5,60,20,0,10,0,100,NA,"STRM07","STRM07-5"
"20","CCC","1","5",2023-10-09,"MARGIN",26,0,26,20,5,20,55,0,0,0,100,NA,"STRM07","STRM07-5"
"21","WEEP","1","1",2023-10-09,"STREAM",43,0,43,0,0,0,85,0,15,0,100,NA,"STRM08","STRM08-1"
"22","WEEP","1","1",2023-10-09,"MARGIN",32,1,33,0,0,0,55,15,20,10,100,NA,"STRM08","STRM08-1"
"23","WEEP","1","2",2023-10-09,"STREAM",39,0,39,0,0,5,90,0,5,0,100,NA,"STRM08","STRM08-2"
"24","WEEP","1","2",2023-10-09,"MARGIN",34,2,36,0,0,0,85,10,5,0,100,NA,"STRM08","STRM08-2"
"25","WEEP","1","3",2023-10-09,"MARGIN",18,0,18,0,0,5,80,0,10,5,100,NA,"STRM08","STRM08-3"
"26","WEEP","1","3",2023-10-09,"STREAM",32,0,32,0,0,5,65,0,20,10,100,NA,"STRM08","STRM08-3"
"27","WEEP","1","4",2023-10-09,"STREAM",27,0,27,0,0,40,10,0,20,30,100,NA,"STRM08","STRM08-4"
"28","WEEP","1","4",2023-10-09,"MARGIN",27,0,27,0,0,5,45,5,45,0,100,NA,"STRM08","STRM08-4"
"29","WEEP","1","5",2023-10-09,"STREAM",20,0,20,0,0,0,55,0,25,20,100,NA,"STRM08","STRM08-5"
"30","WEEP","1","5",2023-10-09,"MARGIN",29,0,29,0,0,10,40,0,20,30,100,NA,"STRM08","STRM08-5"
"31","FERN","1","1",2023-10-10,"STREAM",25,0,25,45,5,5,35,0,10,0,100,NA,"STRM10","STRM10-1"
"32","FERN","1","1",2023-10-10,"MARGIN",22,2,24,25,5,5,45,5,15,0,100,NA,"STRM10","STRM10-1"
"33","FERN","1","2",2023-10-10,"MARGIN",17,1,18,5,20,10,35,20,10,0,100,NA,"STRM10","STRM10-2"
"34","FERN","1","2",2023-10-10,"STREAM",19,0,19,10,0,20,60,0,10,0,100,NA,"STRM10","STRM10-2"
"35","FERN","1","3",2023-10-10,"STREAM",16,0,16,5,5,40,30,0,20,0,100,NA,"STRM10","STRM10-3"
"36","FERN","1","3",2023-10-10,"MARGIN",32,0,32,0,5,15,65,0,15,0,100,NA,"STRM10","STRM10-3"
"37","FERN","1","4",2023-10-10,"STREAM",30,0,30,10,35,5,45,0,5,0,100,NA,"STRM10","STRM10-4"
"38","FERN","1","4",2023-10-10,"MARGIN",16,0,16,40,40,5,10,0,5,0,100,NA,"STRM10","STRM10-4"
"39","FERN","1","5",2023-10-10,"STREAM",13,1,14,10,35,0,40,5,10,0,100,NA,"STRM10","STRM10-5"
"40","FERN","1","5",2023-10-10,"MARGIN",13,0,13,15,0,0,65,0,20,0,100,NA,"STRM10","STRM10-5"
"41","DEEP","1","1",2023-10-10,"STREAM",35,0,35,30,0,5,65,0,0,0,100,NA,"STRM06","STRM06-1"
"42","DEEP","1","1",2023-10-10,"MARGIN",18,0,18,5,35,20,30,0,5,5,100,NA,"STRM06","STRM06-1"
"43","DEEP","1","2",2023-10-10,"STREAM",21,0,21,10,5,60,20,0,5,0,100,NA,"STRM06","STRM06-2"
"44","DEEP","1","2",2023-10-10,"MARGIN",14,0,14,10,5,50,35,0,0,0,100,NA,"STRM06","STRM06-2"
"45","DEEP","1","3",2023-10-10,"STREAM",26,0,26,70,5,20,5,0,0,0,100,NA,"STRM06","STRM06-3"
"46","DEEP","1","3",2023-10-10,"MARGIN",12,0,12,35,0,30,30,0,5,0,100,NA,"STRM06","STRM06-3"
"47","DEEP","1","4",2023-10-10,"MARGIN",25,0,25,15,5,10,65,0,5,0,100,NA,"STRM06","STRM06-4"
"48","DEEP","1","4",2023-10-10,"STREAM",33,0,33,10,5,5,75,0,5,0,100,NA,"STRM06","STRM06-4"
"49","DEEP","1","5",2023-10-10,"STREAM",25,0,25,0,0,5,90,0,5,0,100,NA,"STRM06","STRM06-5"
"50","DEEP","1","5",2023-10-10,"MARGIN",13,0,13,15,5,5,70,0,5,0,100,NA,"STRM06","STRM06-5"
"51","HEAT","3","1",2023-10-10,"STREAM",16,0,16,25,0,0,50,0,25,0,100,NA,"STRM02","STRM02-1"
"52","HEAT","3","1",2023-10-10,"MARGIN",15,0,15,25,0,5,50,0,20,0,100,NA,"STRM02","STRM02-1"
"53","HEAT","3","2",2023-10-10,"STREAM",8,0,8,40,5,5,15,0,35,0,100,NA,"STRM02","STRM02-2"
"54","HEAT","3","2",2023-10-10,"MARGIN",5,0,5,50,0,10,20,0,15,5,100,NA,"STRM02","STRM02-2"
"55","HEAT","3","3",2023-10-10,"STREAM",20,0,20,5,0,15,50,0,30,0,100,NA,"STRM02","STRM02-3"
"56","HEAT","3","3",2023-10-10,"MARGIN",9,0,9,20,0,0,50,0,25,5,100,NA,"STRM02","STRM02-3"
"57","HEAT","3","4",2023-10-10,"STREAM",18,0,18,0,0,15,70,0,15,0,100,NA,"STRM02","STRM02-4"
"58","HEAT","3","4",2023-10-10,"MARGIN",13,0,13,20,5,10,35,0,30,0,100,NA,"STRM02","STRM02-4"
"59","HEAT","3","5",2023-10-10,"STREAM",16,0,16,15,5,5,65,0,10,0,100,NA,"STRM02","STRM02-5"
"60","HEAT","3","5",2023-10-10,"MARGIN",10,0,10,5,0,35,35,0,25,0,100,NA,"STRM02","STRM02-5"
"61","VICT","1","1",2023-10-14,"STREAM",6,0,6,55,10,10,5,0,15,5,100,NA,"STRM05","STRM05-1"
"62","VICT","1","1",2023-10-14,"MARGIN",1,0,1,10,0,35,0,0,55,0,100,NA,"STRM05","STRM05-1"
"63","VICT","1","2",2023-10-14,"STREAM",15,0,15,30,5,30,15,0,20,0,100,NA,"STRM05","STRM05-2"
"64","VICT","1","2",2023-10-14,"MARGIN",9,2,11,5,0,2.5,2.5,0,90,0,100,NA,"STRM05","STRM05-2"
"65","VICT","1","3",2023-10-14,"STREAM",10,0,10,10,5,5,5,0,75,0,100,NA,"STRM05","STRM05-3"
