"","SubplotCode","StrmID","cHei","cWid","depth","RRP","bandNum","covCount","sand","siltClay","gravel","rock","wood","litter","veg","tot","DO","DCHE","ECIR","CHOW","DPER","PSRUB","CAM","SAL","EGUT","salCount","crayCount","sealPres","sealStream","areaSearched","DCHE_m2","DCHE_index"
"1","STRM05-1-1","STRM05",36,200,8,"run",1,3.5,32.5,5,22.5,2.5,0,35,2.5,100,73.2,0,1,0,2,0,0,0,0,3,0,0,0,4,0,0
"2","STRM05-1-2","STRM05",59,270,3,"run",2,13,17.5,2.5,16.25,8.75,0,55,0,100,73.6,0,0,0,3,0,0,0,0,3,0,0,0,5.4,0,0
"3","STRM05-1-3","STRM05",57.5,280,6.5,"riffle",3,9.5,10,2.5,12.5,5,0,70,0,100,72.2,0,1,0,1,0,0,0,0,2,0,0,0,5.6,0,0
"4","STRM05-1-4","STRM05",57,255,7.5,"run",4,3,42.5,17.5,2.5,5,0,32.5,0,100,71.7,0,1,0,0,0,1,0,0,1,1,0,0,5.1,0,0
"5","STRM05-1-5","STRM05",38.5,18.5,8,"riffle/pool",5,6,32.5,7.5,5,2.5,0,52.5,0,100,70.5,0,2,0,0,0,2,0,0,2,2,0,0,0.37,0,0
"6","STRM01-1-1","STRM01",51,175,5,"step",1,14.5,5,1.25,2.5,17.5,1.25,57.5,15,100,78.6,2,1,0,2,0,0,0,0,5,0,1,1,3.5,0.0002285714286,1.58e-05
"7","STRM01-1-2","STRM01",62.5,198,3.5,"riffle",2,17,3.75,0,8.75,50,2.5,32.5,2.5,100,79.5,1,1,0,0,0,0,0,0,2,0,1,1,3.96,0.000101010101,5.94e-06
"8","STRM01-1-3","STRM01",34.5,150,5,"step/pool",3,30,10,0,0,60,5,20,5,100,78.9,0,0,0,2,0,0,0,0,2,0,0,1,3,0,0
"9","STRM01-1-4","STRM01",37.5,206,7,"step/pool",4,17.5,5,0,27.5,22.5,5,25,15,100,78.9,2,2,0,1,0,0,0,0,5,0,1,1,4.12,0.0001941747573,1.11e-05
"10","STRM01-1-5","STRM01",43,260,8,"step",5,13,2.5,2.5,2.5,20,0,50,22.5,100,78.5,2,0,0,2,0,0,0,0,4,0,1,1,5.2,0.0001538461538,1.18e-05
